case_id,logical_event_id,timestamp,timestamp_confidence,logical_event_type,action,process_id,process,parent_process_ids,evidence_ids,source_observation_count,provenance,temporal_sequence,previous_timestamp,time_since_previous_event_seconds
M57-Jean,LEVT-M57-Jean-PROCESS-1752-20091121013306,2009-11-21 01:33:06+00:00,observed,process_start,process_start,1752,msmsgs.exe,1944,M57-Jean-MEM-PSLIST-25;M57-Jean-MEM-PSTREE-40,2,Volatility 3 windows.pstree from M57-Jean memory image | Volatility 3 windows.pslist from M57-Jean memory image,25,2009-11-21 01:33:06+00:00,0.0
M57-Jean,LEVT-M57-Jean-PROCESS-1836-20091121013308,2009-11-21 01:33:08+00:00,observed,process_start,process_start,1836,AVGIDSMonitor.e,1508,M57-Jean-MEM-PSLIST-26;M57-Jean-MEM-PSTREE-35,2,Volatility 3 windows.pstree from M57-Jean memory image | Volatility 3 windows.pslist from M57-Jean memory image,26,2009-11-21 01:33:06+00:00,2.0
M57-Jean,LEVT-M57-Jean-PROCESS-2132-20091121013311,2009-11-21 01:33:11+00:00,observed,process_start,process_start,2132,avgemc.exe,976,M57-Jean-MEM-PSLIST-27;M57-Jean-MEM-PSTREE-20,2,Volatility 3 windows.pstree from M57-Jean memory image | Volatility 3 windows.pslist from M57-Jean memory image,27,2009-11-21 01:33:08+00:00,3.0
M57-Jean,LEVT-M57-Jean-PROCESS-2244-20091121013313,2009-11-21 01:33:13+00:00,observed,process_start,process_start,2244,avgam.exe,1664,M57-Jean-MEM-PSLIST-28;M57-Jean-MEM-PSTREE-8,2,Volatility 3 windows.pstree from M57-Jean memory image | Volatility 3 windows.pslist from M57-Jean memory image,28,2009-11-21 01:33:11+00:00,2.0
M57-Jean,LEVT-M57-Jean-PROCESS-2296-20091121013314,2009-11-21 01:33:14+00:00,observed,process_start,process_start,2296,avgnsx.exe,1664,M57-Jean-MEM-PSLIST-29;M57-Jean-MEM-PSTREE-10,2,Volatility 3 windows.pstree from M57-Jean memory image | Volatility 3 windows.pslist from M57-Jean memory image,29,2009-11-21 01:33:13+00:00,1.0
M57-Jean,LEVT-M57-Jean-PROCESS-2488-20091121013317,2009-11-21 01:33:17+00:00,observed,process_start,process_start,2488,avgcsrvx.exe,2132,M57-Jean-MEM-PSLIST-30;M57-Jean-MEM-PSTREE-21,2,Volatility 3 windows.pstree from M57-Jean memory image | Volatility 3 windows.pslist from M57-Jean memory image,30,2009-11-21 01:33:14+00:00,3.0
M57-Jean,LEVT-M57-Jean-PROCESS-3996-20091121013335,2009-11-21 01:33:35+00:00,observed,process_start,process_start,3996,alg.exe,976,M57-Jean-MEM-PSLIST-31;M57-Jean-MEM-PSTREE-17,2,Volatility 3 windows.pstree from M57-Jean memory image | Volatility 3 windows.pslist from M57-Jean memory image,31,2009-11-21 01:33:17+00:00,18.0
M57-Jean,LEVT-M57-Jean-PROCESS-1356-20091121013448,2009-11-21 01:34:48+00:00,observed,process_start,process_start,1356,avgcsrvx.exe,2296,M57-Jean-MEM-PSLIST-32;M57-Jean-MEM-PSTREE-11,2,Volatility 3 windows.pstree from M57-Jean memory image | Volatility 3 windows.pslist from M57-Jean memory image,32,2009-11-21 01:33:35+00:00,73.0
M57-Jean,LEVT-M57-Jean-PROCESS-1204-20091123165512,2009-11-23 16:55:12+00:00,observed,process_start,process_start,1204,iexplore.exe,3180,M57-Jean-MEM-PSLIST-33;M57-Jean-MEM-PSTREE-43,2,Volatility 3 windows.pstree from M57-Jean memory image | Volatility 3 windows.pslist from M57-Jean memory image,33,2009-11-21 01:34:48+00:00,228024.0
M57-Jean,LEVT-M57-Jean-PROCESS-208-20091123165519,2009-11-23 16:55:19+00:00,observed,process_start,process_start,208,msimn.exe,1944,M57-Jean-MEM-PSLIST-34;M57-Jean-MEM-PSTREE-41,2,Volatility 3 windows.pstree from M57-Jean memory image | Volatility 3 windows.pslist from M57-Jean memory image,34,2009-11-23 16:55:12+00:00,7.0
M57-Jean,LEVT-M57-Jean-PROCESS-2840-20091123170451,2009-11-23 17:04:51+00:00,observed,process_start,process_start,2840,iexplore.exe,3180,M57-Jean-MEM-PSLIST-36;M57-Jean-MEM-PSTREE-45,2,Volatility 3 windows.pstree from M57-Jean memory image | Volatility 3 windows.pslist from M57-Jean memory image,35,2009-11-23 16:55:19+00:00,572.0
