timeline_sequence,case_id,event_id,timestamp,timestamp_end,timestamp_confidence,source,artifact_type,event_type,action,user,host,process,parent_process,process_id,parent_process_id,command_line,file,file_path,file_hash,device,ip_src,ip_dst,port_src,port_dst,protocol,parent_event_id,related_event_id,relationship,evidence_id,provenance
53,M57-Jean,EVT-M57-Jean-PARENT-20,2009-11-21 01:33:11+00:00,,observed,memory,pstree,process_relationship,parent_of,,,avgemc.exe,,2132,976.0,,,,,,,,,,,,,parent_of,M57-Jean-MEM-PSTREE-20,Volatility 3 windows.pstree from M57-Jean memory image
54,M57-Jean,EVT-M57-Jean-PROCESS-27,2009-11-21 01:33:11+00:00,,observed,memory,pslist,process,process_start,,,avgemc.exe,,2132,976.0,,,,,,,,,,,,,,M57-Jean-MEM-PSLIST-27,Volatility 3 windows.pslist from M57-Jean memory image
55,M57-Jean,EVT-M57-Jean-PARENT-8,2009-11-21 01:33:13+00:00,,observed,memory,pstree,process_relationship,parent_of,,,avgam.exe,,2244,1664.0,,,,,,,,,,,,,parent_of,M57-Jean-MEM-PSTREE-8,Volatility 3 windows.pstree from M57-Jean memory image
56,M57-Jean,EVT-M57-Jean-PROCESS-28,2009-11-21 01:33:13+00:00,,observed,memory,pslist,process,process_start,,,avgam.exe,,2244,1664.0,,,,,,,,,,,,,,M57-Jean-MEM-PSLIST-28,Volatility 3 windows.pslist from M57-Jean memory image
57,M57-Jean,EVT-M57-Jean-PARENT-10,2009-11-21 01:33:14+00:00,,observed,memory,pstree,process_relationship,parent_of,,,avgnsx.exe,,2296,1664.0,,,,,,,,,,,,,parent_of,M57-Jean-MEM-PSTREE-10,Volatility 3 windows.pstree from M57-Jean memory image
58,M57-Jean,EVT-M57-Jean-PROCESS-29,2009-11-21 01:33:14+00:00,,observed,memory,pslist,process,process_start,,,avgnsx.exe,,2296,1664.0,,,,,,,,,,,,,,M57-Jean-MEM-PSLIST-29,Volatility 3 windows.pslist from M57-Jean memory image
59,M57-Jean,EVT-M57-Jean-PARENT-21,2009-11-21 01:33:17+00:00,,observed,memory,pstree,process_relationship,parent_of,,,avgcsrvx.exe,,2488,2132.0,,,,,,,,,,,,,parent_of,M57-Jean-MEM-PSTREE-21,Volatility 3 windows.pstree from M57-Jean memory image
60,M57-Jean,EVT-M57-Jean-PROCESS-30,2009-11-21 01:33:17+00:00,,observed,memory,pslist,process,process_start,,,avgcsrvx.exe,,2488,2132.0,,,,,,,,,,,,,,M57-Jean-MEM-PSLIST-30,Volatility 3 windows.pslist from M57-Jean memory image
61,M57-Jean,EVT-M57-Jean-PARENT-17,2009-11-21 01:33:35+00:00,,observed,memory,pstree,process_relationship,parent_of,,,alg.exe,,3996,976.0,,,,,,,,,,,,,parent_of,M57-Jean-MEM-PSTREE-17,Volatility 3 windows.pstree from M57-Jean memory image
62,M57-Jean,EVT-M57-Jean-PROCESS-31,2009-11-21 01:33:35+00:00,,observed,memory,pslist,process,process_start,,,alg.exe,,3996,976.0,,,,,,,,,,,,,,M57-Jean-MEM-PSLIST-31,Volatility 3 windows.pslist from M57-Jean memory image
