case_id,event_id,timestamp,timestamp_end,timestamp_confidence,source,artifact_type,event_type,action,user,host,process,parent_process,process_id,parent_process_id,command_line,file,file_path,file_hash,device,ip_src,ip_dst,port_src,port_dst,protocol,parent_event_id,related_event_id,relationship,evidence_id,provenance
M57-Jean,EVT-M57-Jean-CMD-41,,,unknown,memory,cmdline,command_line,observed,,,swriter.exe,,2080,,"""C:\\Program Files\\OpenOffice.org 3\\program\\swriter.exe""  -o ""C:\\Documents and Settings\\Pat\\My Documents\\Will1.odt""",,,,,,,,,,,,,M57-Jean-MEM-CMDLINE-41,Volatility 3 windows.cmdline from M57-Jean memory image
M57-Jean,EVT-M57-Jean-CMD-42,,,unknown,memory,cmdline,command_line,observed,,,soffice.exe,,3908,,"""C:\\Program Files\\OpenOffice.org 3\\program\\swriter.exe""  -o ""C:\\Documents and Settings\\Pat\\My Documents\\Will1.odt"" -writer",,,,,,,,,,,,,M57-Jean-MEM-CMDLINE-42,Volatility 3 windows.cmdline from M57-Jean memory image
M57-Jean,EVT-M57-Jean-CMD-43,,,unknown,memory,cmdline,command_line,observed,,,soffice.bin,,3560,,"""C:\\Program Files\\OpenOffice.org 3\\program\\swriter.exe"" ""-o"" ""C:\\Documents and Settings\\Pat\\My Documents\\Will1.odt"" ""-writer"" ""-env:OOO_CWD=2C:\\\\Documents and Settings\\\\Pat\\\\My Documents""",,,,,,,,,,,,,M57-Jean-MEM-CMDLINE-43,Volatility 3 windows.cmdline from M57-Jean memory image
M57-Jean,EVT-M57-Jean-CMD-46,,,unknown,memory,cmdline,command_line,observed,,,cmd.exe,,620,,"""C:\\WINDOWS\\system32\\cmd.exe""",,,,,,,,,,,,,M57-Jean-MEM-CMDLINE-46,Volatility 3 windows.cmdline from M57-Jean memory image
M57-Jean,EVT-M57-Jean-CMD-47,,,unknown,memory,cmdline,command_line,observed,,,mdd_1.3.exe,,2992,,z:\\ram\\mdd_1.3.exe -o z:\\ram\\pat-2009-11-23.ram,,,,,,,,,,,,,M57-Jean-MEM-CMDLINE-47,Volatility 3 windows.cmdline from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-0,,,unknown,memory,dlllist,module,loaded,,,csrss.exe,,908,,,csrss.exe,\\??\\C:\\WINDOWS\\system32\\csrss.exe,,,,,,,,,,,M57-Jean-MEM-DLL-0,Volatility 3 windows.dlllist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-1,,,unknown,memory,dlllist,module,loaded,,,csrss.exe,,908,,,,,,,,,,,,,,,M57-Jean-MEM-DLL-1,Volatility 3 windows.dlllist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-2,,,unknown,memory,dlllist,module,loaded,,,csrss.exe,,908,,,CSRSRV.dll,C:\\WINDOWS\\system32\\CSRSRV.dll,,,,,,,,,,,M57-Jean-MEM-DLL-2,Volatility 3 windows.dlllist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-3,,,unknown,memory,dlllist,module,loaded,,,csrss.exe,,908,,,basesrv.dll,C:\\WINDOWS\\system32\\basesrv.dll,,,,,,,,,,,M57-Jean-MEM-DLL-3,Volatility 3 windows.dlllist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-4,,,unknown,memory,dlllist,module,loaded,,,csrss.exe,,908,,,winsrv.dll,C:\\WINDOWS\\system32\\winsrv.dll,,,,,,,,,,,M57-Jean-MEM-DLL-4,Volatility 3 windows.dlllist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-5,,,unknown,memory,dlllist,module,loaded,,,csrss.exe,,908,,,GDI32.dll,C:\\WINDOWS\\system32\\GDI32.dll,,,,,,,,,,,M57-Jean-MEM-DLL-5,Volatility 3 windows.dlllist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-6,,,unknown,memory,dlllist,module,loaded,,,csrss.exe,,908,,,KERNEL32.dll,C:\\WINDOWS\\system32\\KERNEL32.dll,,,,,,,,,,,M57-Jean-MEM-DLL-6,Volatility 3 windows.dlllist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-7,,,unknown,memory,dlllist,module,loaded,,,csrss.exe,,908,,,USER32.dll,C:\\WINDOWS\\system32\\USER32.dll,,,,,,,,,,,M57-Jean-MEM-DLL-7,Volatility 3 windows.dlllist from M57-Jean memory image
