case_id,logical_event_id,temporal_sequence,timestamp,process_id,process,graph_anomaly_score,graph_predicted_anomaly,graph_anomaly_rank,value_gap_log_seconds,shap_gap_log_seconds,value_local_density_10s,shap_local_density_10s,value_local_density_30s,shap_local_density_30s,value_local_density_60s,shap_local_density_60s,value_process_changed,shap_process_changed,value_parent_count,shap_parent_count,value_child_count,shap_child_count,value_graph_degree,shap_graph_degree,value_in_degree,shap_in_degree,value_out_degree,shap_out_degree,value_command_line_count,shap_command_line_count,value_module_count,shap_module_count,value_memory_region_count,shap_memory_region_count,value_relationship_type_count,shap_relationship_type_count
M57-Jean,LEVT-M57-Jean-PROCESS-1204-20091123165512,33,2009-11-23 16:55:12+00:00,1204,iexplore.exe,-0.0465295090835093,False,11,12.33721055104836,-0.8393007203218257,6,-0.2703045242094337,15,-0.05695245612594038,15,-0.12462719426284798,1,0.173046353927336,1,0.0,0,0.09994032469375252,1,0.09624352660713974,1,0.0,0,0.10017082602116528,0,-0.12446693058740303,0,0.09673904895440874,0,0.09508157868011846,1,-0.08327190988318932
M57-Jean,LEVT-M57-Jean-PROCESS-620-20091123235925,46,2009-11-23 23:59:25+00:00,620,cmd.exe,-0.0529188793186515,False,12,5.993961427306569,-0.23930587863438957,9,-0.1950067601155773,15,-0.21772312798342172,15,-0.25210921637346895,1,0.1448276031889397,1,0.0,1,-0.08294404838767973,26,-0.03206881642019633,1,0.0,25,-0.03324383110890356,1,0.11218596159287028,23,-0.03027001139293842,0,0.0880821160481155,3,0.021572375479894056
M57-Jean,LEVT-M57-Jean-PROCESS-1612-20091121013235,10,2009-11-21 01:32:35+00:00,1612,avgchsvx.exe,-0.0595973867320492,False,13,0.0,0.06311762218937439,35,-0.04894821142152459,35,-0.15394260943555088,35,-0.13225138398529887,1,0.16151881373798932,1,0.0,0,0.12907589026565566,1,0.03532037729896872,1,0.0,0,0.037722863007033196,0,-0.40177845452613176,0,0.07694787431809195,0,0.037550398355602345,1,-0.3915096585208299
M57-Jean,LEVT-M57-Jean-PROCESS-1836-20091121013308,26,2009-11-21 01:33:08+00:00,1836,AVGIDSMonitor.e,-0.0649090499374007,False,14,1.0986122886681098,0.12107397003864927,32,0.09431026458979788,32,0.028862653569897347,32,0.03498024359918489,1,0.152075433823844,1,0.0,0,0.1303751878534405,4,0.00401883575797584,1,0.0,3,0.02509849543546389,0,-0.43755426219165244,0,0.08207638145771616,3,-0.6425277998750987,2,-0.07629300398922895
M57-Jean,LEVT-M57-Jean-PROCESS-1572-20091121013258,16,2009-11-21 01:32:58+00:00,1572,svchost.exe,-0.0653369700057797,False,15,2.833213344056216,-0.23218562543539426,33,0.139273186470546,33,0.1083159338896691,33,0.1051398713850112,1,0.14981165753955514,1,0.0,0,0.12996128179810826,36,-0.045681123037995534,1,0.0,35,-0.0397718980822135,0,-0.7467254447074045,34,-0.051988410647676134,1,0.05268237937946195,3,-0.04393577582014514
M57-Jean,LEVT-M57-Jean-PROCESS-3908-20091123221634,42,2009-11-23 22:16:34+00:00,3908,soffice.exe,-0.0765891516455855,False,16,0.6931471805599453,8.749492563881293e-05,9,-0.23169435595102883,15,-0.2792810911338724,15,-0.3288012345204067,1,0.14965096502423003,1,0.0,1,-0.05401638130589304,18,0.06590074969609232,1,0.0,17,0.06282881003172326,1,0.14331873980651108,15,0.07586721851188437,0,0.08484687591822168,3,0.059656999965796084
M57-Jean,LEVT-M57-Jean-PROCESS-1432-20091121013235,9,2009-11-21 01:32:35+00:00,1432,svchost.exe,-0.0790597010228937,False,17,0.0,0.13525590570446386,35,0.05539104672452614,35,0.03202160370020887,35,0.01713062025958562,0,-1.2288303399845253,1,0.0,0,0.13311134599422036,35,0.06629094447054183,1,0.0,34,0.07768243818430899,1,0.197331947197477,32,0.08103998940154958,1,0.09902986072285555,4,0.13265816696464142
M57-Jean,LEVT-M57-Jean-PROCESS-2080-20091123221633,41,2009-11-23 22:16:33+00:00,2080,swriter.exe,-0.0791760105264843,False,18,6.150602768446279,-0.22003637573476523,9,-0.1496982722103559,15,-0.15308487563389822,15,-0.21297427040126854,1,0.14944172473081577,1,0.0,1,-0.06507214848422933,19,0.05749102191665518,1,0.0,18,0.05965887568702387,1,0.12461502841991068,16,0.06436559519225418,0,0.09610869158645158,3,0.049646805228324264
M57-Jean,LEVT-M57-Jean-PROCESS-932-20091121013232,3,2009-11-21 01:32:32+00:00,932,winlogon.exe,-0.0830100151045404,False,19,0.0,0.1568391709202449,35,0.07806764070278764,35,0.027266964880140052,35,0.02547794673006064,1,0.14884425005096039,1,0.0,4,-0.3298703656533575,94,-0.19601679716629838,1,0.0,93,-0.19569125765242995,1,0.18465560831116248,86,-0.19872266565727173,2,-0.010903298911372613,4,0.18823639450756616
M57-Jean,LEVT-M57-Jean-PROCESS-2992-20091124000124,47,2009-11-24 00:01:24+00:00,2992,mdd_1.3.exe,-0.0843601420409625,False,20,4.787491742782046,-0.16360312809766933,9,-0.15166867640322224,15,-0.16433233172164902,15,-0.2533676294402976,1,0.1578450944947384,1,0.0,0,0.09005949041288486,17,0.04805055620666934,1,0.0,16,0.030453600282034303,1,0.11644372067394206,15,0.06258066818999818,0,0.10082372783147152,3,0.03241395299252189
