case_id,logical_event_id,temporal_sequence,timestamp,process_id,process,time_since_previous_event_seconds,temporal_anomaly_score,temporal_predicted_anomaly,temporal_anomaly_rank,shap_gap_log_seconds,shap_local_density_10s,shap_local_density_30s,shap_local_density_60s,shap_process_changed,value_gap_log_seconds,value_local_density_10s,value_local_density_30s,value_local_density_60s,value_process_changed
M57-Jean,LEVT-M57-Jean-PROCESS-1760-20091121013238,13,2009-11-21 01:32:38+00:00,1760,avgcsrvx.exe,1.0,-0.1623320505994451,False,31.0,-0.015879455731320102,-0.010916232522238686,-0.0007695879698527221,-0.0024208309864618433,-0.015029295946792412,0.6931471805599453,31,31,31,1
M57-Jean,LEVT-M57-Jean-PROCESS-2296-20091121013314,29,2009-11-21 01:33:14+00:00,2296,avgnsx.exe,1.0,-0.1623320505994451,False,32.0,-0.016105712040652188,-0.010682233442063297,-0.0008068857066874558,-0.0021717026188774646,-0.015248869348385359,0.6931471805599453,31,31,31,1
M57-Jean,LEVT-M57-Jean-PROCESS-1996-20091121013242,14,2009-11-21 01:32:42+00:00,1996,spoolsv.exe,4.0,-0.1673289198929045,False,33.0,-0.005237797864716837,-0.015423604134531225,-0.0053840201713761795,-0.007392082728603418,-0.016574767550897547,1.6094379124341005,32,32,32,1
M57-Jean,LEVT-M57-Jean-PROCESS-2576-20091123220845,40,2009-11-23 22:08:45+00:00,2576,iexplore.exe,310.0,-0.170881461652548,False,34.0,0.012197168815544649,-0.004692489950056781,-0.022847419468742917,-0.022093604860186248,-0.016128468746327312,5.739792912179234,8,14,14,1
M57-Jean,LEVT-M57-Jean-PROCESS-2080-20091123221633,41,2009-11-23 22:16:33+00:00,2080,swriter.exe,468.0,-0.1741239460643428,False,35.0,0.009842197215627967,-0.004814186157369218,-0.02334229039615822,-0.02252107563292026,-0.015971943650743954,6.150602768446279,8,14,14,1
M57-Jean,LEVT-M57-Jean-PROCESS-620-20091123235925,46,2009-11-23 23:59:25+00:00,620,cmd.exe,400.0,-0.1755836315948808,False,36.0,0.007718111876192701,-0.004791852183229723,-0.02229973835588568,-0.02238526802577448,-0.016508237463404428,5.993961427306569,8,14,14,1
M57-Jean,LEVT-M57-Jean-PROCESS-2028-20091121013242,15,2009-11-21 01:32:42+00:00,2028,AVGIDSAgent.exe,0.0,-0.1767624995604281,False,37.0,-0.017682775608182173,-0.013685157037891145,-0.005135513672744843,-0.005641619685035912,-0.017300786113794646,0.0,32,32,32,1
M57-Jean,LEVT-M57-Jean-PROCESS-1664-20091121013258,17,2009-11-21 01:32:58+00:00,1664,avgwdsvc.exe,0.0,-0.1767624995604281,False,38.0,-0.017401615305935522,-0.013688143016108715,-0.00522582480194583,-0.005553046812752027,-0.017577222180906616,0.0,32,32,32,1
M57-Jean,LEVT-M57-Jean-PROCESS-1752-20091121013306,25,2009-11-21 01:33:06+00:00,1752,msmsgs.exe,0.0,-0.1767624995604281,False,39.0,-0.017588707220364083,-0.013760101244868733,-0.00542440815362286,-0.005253359729236858,-0.01741927576955619,0.0,32,32,32,1
M57-Jean,LEVT-M57-Jean-PROCESS-2132-20091121013311,27,2009-11-21 01:33:11+00:00,2132,avgemc.exe,3.0,-0.1802626929498204,False,40.0,-0.022560502374777806,-0.014601280479976903,-0.004254852962482236,-0.006451789457898924,-0.01507762023190524,1.3862943611198906,31,31,31,1
M57-Jean,LEVT-M57-Jean-PROCESS-2488-20091121013317,30,2009-11-21 01:33:17+00:00,2488,avgcsrvx.exe,3.0,-0.1802626929498204,False,41.0,-0.022069980569955346,-0.014886038609165153,-0.004211293367053292,-0.006416484558614357,-0.015362248402252948,1.3862943611198906,31,31,31,1
M57-Jean,LEVT-M57-Jean-PROCESS-1152-20091121013234,6,2009-11-21 01:32:34+00:00,1152,svchost.exe,2.0,-0.1838200295608755,False,42.0,-0.019604572856304268,-0.01566151981475335,-0.006850032358314664,-0.007395298003782858,-0.016991959084941024,1.0986122886681098,32,32,32,1
M57-Jean,LEVT-M57-Jean-PROCESS-1676-20091121013306,24,2009-11-21 01:33:06+00:00,1676,ctfmon.exe,1.0,-0.1840787243052326,False,43.0,-0.018847213245695445,-0.016136678235959233,-0.006930526181058784,-0.007366019890483487,-0.017481639309256235,0.6931471805599453,32,32,32,1
M57-Jean,LEVT-M57-Jean-PROCESS-1732-20091121013237,12,2009-11-21 01:32:37+00:00,1732,svchost.exe,2.0,-0.1935457638693683,False,44.0,-0.03168480044457673,-0.015818879425726996,-0.005385387395277812,-0.007947730333446151,-0.015392318827561279,1.0986122886681098,31,31,31,1
M57-Jean,LEVT-M57-Jean-PROCESS-2244-20091121013313,28,2009-11-21 01:33:13+00:00,2244,avgam.exe,2.0,-0.1935457638693683,False,46.0,-0.031395863685283874,-0.016145488747881208,-0.005738199761470802,-0.007866709000353187,-0.01508285523159989,1.0986122886681098,31,31,31,1
M57-Jean,LEVT-M57-Jean-PROCESS-1836-20091121013308,26,2009-11-21 01:33:08+00:00,1836,AVGIDSMonitor.e,2.0,-0.1935457638693683,False,45.0,-0.03150343438513693,-0.015947433630724258,-0.005441493405810384,-0.007779227088576201,-0.015557527916341187,1.0986122886681098,31,31,31,1
