case_id,logical_event_id,temporal_sequence,timestamp,process_id,process,graph_only_anomaly_rank,graph_only_anomaly_score,graph_only_predicted_anomaly,shap_parent_count,shap_child_count,shap_graph_degree,shap_in_degree,shap_out_degree,shap_command_line_count,shap_module_count,shap_memory_region_count,shap_relationship_type_count,shap_total_abs,top_graph_feature,top_graph_feature_shap
M57-Jean,LEVT-M57-Jean-PROCESS-1528-20091121013305,23,2009-11-21 01:33:05+00:00,1528,jusched.exe,11,-0.0910419519122492,False,0.0,0.18818283941930672,0.04746441191286747,0.0,0.011305559726411321,-0.43953077085431264,0.13822626663205972,-0.10607591638312977,-0.2329678024223922,1.1637535673504797,command_line_count,-0.43953077085431264
M57-Jean,LEVT-M57-Jean-PROCESS-1504-20091121013305,21,2009-11-21 01:33:05+00:00,1504,hkcmd.exe,12,-0.0910419519122492,False,0.0,0.18818283941930672,0.04746441191286747,0.0,0.011305559726411321,-0.43953077085431264,0.13822626663205972,-0.10607591638312977,-0.2329678024223922,1.1637535673504797,command_line_count,-0.43953077085431264
M57-Jean,LEVT-M57-Jean-PROCESS-1676-20091121013306,24,2009-11-21 01:33:06+00:00,1676,ctfmon.exe,13,-0.0910419519122492,False,0.0,0.18818283941930672,0.04746441191286747,0.0,0.011305559726411321,-0.43953077085431264,0.13822626663205972,-0.10607591638312977,-0.2329678024223922,1.1637535673504797,command_line_count,-0.43953077085431264
M57-Jean,LEVT-M57-Jean-PROCESS-1664-20091121013258,17,2009-11-21 01:32:58+00:00,1664,avgwdsvc.exe,14,-0.0910833512118695,False,0.0,-0.930713070027824,0.008978092687574444,0.0,0.0006124733072123802,0.31359009029387847,0.0240260661511806,-0.0862850435697506,0.2772419128007838,1.6414467488382045,child_count,-0.930713070027824
M57-Jean,LEVT-M57-Jean-PROCESS-2132-20091121013311,27,2009-11-21 01:33:11+00:00,2132,avgemc.exe,15,-0.0936441768000721,False,0.0,-0.06608822412104806,-0.24621249781886737,0.0,-0.15685510038779768,0.24133605137706426,-0.09811962060970841,0.007728557927326378,-0.021870765075022384,0.8382108173168346,graph_degree,-0.24621249781886737
M57-Jean,LEVT-M57-Jean-PROCESS-2028-20091121013242,15,2009-11-21 01:32:42+00:00,2028,AVGIDSAgent.exe,16,-0.1074749839834529,False,0.0,0.24941382048810068,-0.06162470184195804,0.0,-0.016307196088318387,0.3429043688476093,-0.10195523016128775,-0.7199679131326552,0.25574484889394167,1.747918079453871,memory_region_count,-0.7199679131326552
M57-Jean,LEVT-M57-Jean-PROCESS-208-20091123165519,34,2009-11-23 16:55:19+00:00,208,msimn.exe,17,-0.1112212425990127,False,0.0,0.254523084025902,-0.23627397321486485,0.0,-0.20531565390462528,0.30841756239869195,-0.39883115873680575,0.01489461678821922,0.2903491707637003,1.708605219832809,module_count,-0.39883115873680575
M57-Jean,LEVT-M57-Jean-PROCESS-1356-20091121013448,32,2009-11-21 01:34:48+00:00,1356,avgcsrvx.exe,18,-0.1170448644980071,False,0.0,0.22606464793649875,0.03631269984369145,0.0,0.0003444565896116583,-0.023929412776783683,0.08865313489490294,0.1824931600092693,-0.3572194573906148,0.9150169694413726,relationship_type_count,-0.3572194573906148
M57-Jean,LEVT-M57-Jean-PROCESS-1760-20091121013238,13,2009-11-21 01:32:38+00:00,1760,avgcsrvx.exe,19,-0.1170448644980071,False,0.0,0.22606464793649875,0.03631269984369145,0.0,0.0003444565896116583,-0.023929412776783683,0.08865313489490294,0.1824931600092693,-0.3572194573906148,0.9150169694413726,relationship_type_count,-0.3572194573906148
M57-Jean,LEVT-M57-Jean-PROCESS-3996-20091121013335,31,2009-11-21 01:33:35+00:00,3996,alg.exe,20,-0.1207891100087508,False,0.0,0.19454894325353705,-0.15498886201512713,0.0,-0.1508928860387678,0.22440853387056753,-0.038129680905033686,0.17676210360100814,-0.017807791999051154,0.9575388016830926,command_line_count,0.22440853387056753
